thesaurus,keyword,type
LTER controlled vocabulary,plant species composition,theme
LTER controlled vocabulary,vegetation,theme
LTER controlled vocabulary,community composition,theme
LTER controlled vocabulary,plant growth,theme
LTER controlled vocabulary,foliar nitrogen,theme
LTER controlled vocabulary,plant biomass,theme
LTER controlled vocabulary,plants,theme
LTER controlled vocabulary,nitrogen deposition,theme
LTER controlled vocabulary,atmospheric deposition,theme
LTER controlled vocabulary,soil,theme
LTER controlled vocabulary,soil chemistry,theme
LTER controlled vocabulary,soil nitrogen,theme
LTER controlled vocabulary,soil nutrients,theme
LTER controlled vocabulary,soil phosphorus,theme
LTER controlled vocabulary,soil properties,theme
LTER controlled vocabulary,nitrogen,theme
LTER controlled vocabulary,phosphorus,theme
LTER controlled vocabulary,fertilizer,theme
LTER controlled vocabulary,fertilization,theme
LTER core areas,primary production,theme
LTER core areas,population studies,theme
LTER core areas,movement of organic matter,theme
LTER core areas,movement of inorganic matter,theme
LTER core areas,parks and rivers,theme
CAPLTER Keyword Set List,cap lter,theme
CAPLTER Keyword Set List,cap,theme
CAPLTER Keyword Set List,caplter,theme
CAPLTER Keyword Set List,central arizona phoenix long term ecological research,theme
CAPLTER Keyword Set List,arizona,place
CAPLTER Keyword Set List,az,place
CAPLTER Keyword Set List,arid land,theme
CAPLTER Keyword Set List,desert preserve,theme
CAPLTER Keyword Set List,desert fertilization experiment,theme
CAPLTER Keyword Set List,deserts,theme
